delivery_id,order_id,expected_date,actual_date,delivery_status
600001,500001,2024-09-01,2024-09-04,Delayed
600002,500002,2023-12-15,2023-12-17,Delayed
600003,500003,2024-03-10,2024-03-14,Delayed
600004,500004,2023-10-14,2023-10-15,On-time
600005,500005,2023-11-24,2023-11-25,On-time
600006,500006,2023-09-25,2023-09-25,On-time
600007,500007,2023-12-19,2023-12-19,On-time
600008,500008,2024-07-12,2024-07-11,On-time
600009,500009,2024-01-15,2024-01-16,On-time
600010,500010,2024-03-26,2024-03-25,On-time
600011,500011,2023-11-22,\N,\N
600012,500012,2023-08-22,2023-08-28,Delayed
600013,500013,2023-08-30,2023-08-31,On-time
600014,500014,2023-06-28,2023-06-27,On-time
600015,500015,2023-06-09,2023-06-12,Delayed
600016,500016,2023-10-11,\N,Failed
600017,500017,2023-06-05,2023-06-04,On-time
600018,500018,2024-03-15,2024-03-16,On-time
600019,500019,2024-02-07,2024-02-08,On-time
600020,500020,2023-07-02,\N,Failed
600021,500021,2024-05-18,2024-05-17,On-time
600022,500022,2024-04-10,2024-04-10,On-time
600023,500023,2024-09-28,2024-09-28,On-time
600024,500024,2023-10-05,\N,\N
600025,500025,2024-07-10,2024-07-11,On-time
600026,500026,2024-08-02,2024-08-03,On-time
600027,500027,2023-09-17,2023-09-16,On-time
600028,500028,2023-10-31,2023-10-31,On-time
600029,500029,2024-05-19,2024-05-19,On-time
600030,500030,2024-03-08,2024-03-07,On-time
600031,500031,2023-07-18,2023-07-17,On-time
600032,500032,2023-12-26,\N,\N
600033,500033,2023-11-17,2023-11-16,On-time
600034,500034,2024-03-16,\N,Failed
600035,500035,2023-09-04,2023-09-04,On-time
600036,500036,2024-01-07,2024-01-06,On-time
600037,500037,2023-08-16,\N,\N
600038,500038,2023-10-17,2023-10-20,Delayed
600039,500039,2023-06-09,\N,Failed
600040,500040,2023-07-26,2023-08-01,Delayed
600041,500041,2024-02-13,2024-02-14,On-time
600042,500042,2024-05-03,2024-05-04,On-time
600043,500043,2023-09-11,2023-09-12,On-time
600044,500044,2024-04-06,2024-04-06,On-time
600045,500045,2024-04-17,2024-04-21,Delayed
600046,500046,2024-06-18,2024-06-18,On-time
600047,500047,2023-07-31,2023-07-30,On-time
600048,500048,2024-03-05,2024-03-06,On-time
600049,500049,2023-12-09,2023-12-09,On-time
600050,500050,2024-03-16,2024-03-17,On-time
600051,500051,2024-08-25,2024-08-26,On-time
600052,500052,2024-04-06,2024-04-05,On-time
600053,500053,2024-07-24,2024-07-30,Delayed
600054,500054,2024-01-25,2024-01-29,Delayed
600055,500055,2023-12-22,\N,\N
600056,500056,2023-10-27,2023-10-28,On-time
600057,500057,2023-09-17,2023-09-17,On-time
600058,500058,2024-08-03,2024-08-04,On-time
600059,500059,2024-07-26,2024-07-25,On-time
600060,500060,2024-07-04,2024-07-05,On-time
600061,500061,2024-01-09,\N,\N
600062,500062,2024-06-06,2024-06-05,On-time
600063,500063,2023-10-29,2023-10-30,On-time
600064,500064,2023-06-10,2023-06-11,On-time
600065,500065,2023-07-23,2023-07-26,Delayed
600066,500066,2024-07-30,2024-07-31,On-time
600067,500067,2023-06-22,2023-06-23,On-time
600068,500068,2023-06-29,2023-06-29,On-time
600069,500069,2023-06-28,2023-06-28,On-time
600070,500070,2024-05-26,2024-05-30,Delayed
600071,500071,2024-08-05,2024-08-04,On-time
600072,500072,2024-01-07,\N,Failed
600073,500073,2024-04-04,2024-04-10,Delayed
600074,500074,2024-07-30,2024-07-31,On-time
600075,500075,2024-07-22,2024-07-28,Delayed
600076,500076,2023-06-22,2023-06-23,On-time
600077,500077,2024-07-25,2024-07-28,Delayed
600078,500078,2023-07-30,2023-07-31,On-time
600079,500079,2023-07-06,2023-07-12,Delayed
600080,500080,2024-08-11,2024-08-10,On-time
600081,500081,2024-05-13,\N,\N
600082,500082,2024-04-11,2024-04-10,On-time
600083,500083,2024-04-06,2024-04-06,On-time
600084,500084,2023-07-31,2023-07-31,On-time
600085,500085,2023-11-28,2023-11-29,On-time
600086,500086,2023-12-18,2023-12-17,On-time
600087,500087,2023-09-03,2023-09-07,Delayed
600088,500088,2023-12-31,2023-12-30,On-time
600089,500089,2023-06-25,2023-06-25,On-time
600090,500090,2023-07-25,2023-07-24,On-time
600091,500091,2024-03-08,2024-03-09,On-time
600092,500092,2023-07-13,2023-07-14,On-time
600093,500093,2024-05-14,2024-05-14,On-time
600094,500094,2024-01-13,2024-01-15,Delayed
600095,500095,2024-02-05,2024-02-06,On-time
600096,500096,2023-11-14,2023-11-20,Delayed
600097,500097,2024-06-25,2024-06-24,On-time
600098,500098,2024-04-16,2024-04-16,On-time
600099,500099,2024-01-20,\N,Failed
600100,500100,2024-01-15,2024-01-16,On-time
600101,500101,2024-06-27,\N,\N
600102,500102,2023-06-03,2023-06-03,On-time
600103,500103,2024-02-21,2024-02-21,On-time
600104,500104,2024-03-05,\N,\N
600105,500105,2024-03-20,2024-03-21,On-time
600106,500106,2023-09-28,2023-10-01,Delayed
600107,500107,2024-07-06,\N,\N
600108,500108,2024-01-25,2024-01-25,On-time
600109,500109,2024-05-03,2024-05-03,On-time
600110,500110,2024-04-19,2024-04-19,On-time
600111,500111,2024-07-15,2024-07-14,On-time
600112,500112,2024-01-13,2024-01-12,On-time
600113,500113,2023-08-28,2023-08-27,On-time
600114,500114,2024-02-27,2024-02-29,Delayed
600115,500115,2024-02-17,2024-02-18,On-time
600116,500116,2023-06-25,2023-06-25,On-time
600117,500117,2023-12-11,2023-12-12,On-time
600118,500118,2024-03-10,2024-03-09,On-time
600119,500119,2023-08-16,2023-08-16,On-time
600120,500120,2024-08-07,\N,Failed
600121,500121,2024-05-31,2024-05-30,On-time
600122,500122,2023-11-13,2023-11-13,On-time
600123,500123,2023-12-09,2023-12-08,On-time
600124,500124,2024-05-27,2024-05-26,On-time
600125,500125,2023-09-26,\N,\N
600126,500126,2023-06-13,2023-06-17,Delayed
600127,500127,2023-07-23,2023-07-22,On-time
600128,500128,2023-07-25,2023-07-29,Delayed
600129,500129,2023-08-23,2023-08-23,On-time
