order_id,customer_id,order_date,order_status
500001,10470,2024-08-30,Delivered
500002,10350,2023-12-09,Delivered
500003,12195,2024-03-03,Returned
500004,11558,2023-10-09,Delivered
500005,10257,2023-11-22,Delivered
500006,10496,2023-09-20,Delivered
500007,11070,2023-12-13,Delivered
500008,10668,2024-07-09,Returned
500009,11847,2024-01-10,Delivered
500010,10175,2024-03-19,Delivered
500011,12931,2023-11-18,Cancelled
500012,11260,2023-08-16,Delivered
500013,11636,2023-08-23,Delivered
500014,12129,2023-06-23,Delivered
500015,11515,2023-06-03,Delivered
500016,11612,2023-10-09,Delivered
500017,10350,2023-06-03,Delivered
500018,12099,2024-03-11,Returned
500019,10620,2024-02-02,Delivered
500020,10217,2023-06-27,Delivered
500021,11915,2024-05-13,Delivered
500022,10034,2024-04-06,Delivered
500023,12568,2024-09-26,Delivered
500024,11474,2023-10-03,Cancelled
500025,11363,2024-07-08,Delivered
500026,12626,2024-07-29,Returned
500027,11413,2023-09-15,Delivered
500028,12757,2023-10-24,Delivered
500029,12681,2024-05-13,Delivered
500030,10211,2024-03-02,Delivered
500031,12456,2023-07-15,Delivered
500032,11699,2023-12-23,Cancelled
500033,10662,2023-11-11,Returned
500034,11118,2024-03-10,Delivered
500035,12205,2023-08-28,Delivered
500036,12011,2023-12-31,Delivered
500037,10016,2023-08-11,Cancelled
500038,11667,2023-10-10,Delivered
500039,12381,2023-06-05,Returned
500040,12451,2023-07-19,Delivered
500041,12278,2024-02-09,Delivered
500042,12301,2024-05-01,Delivered
500043,11985,2023-09-08,Delivered
500044,11753,2024-04-04,Delivered
500045,11439,2024-04-14,Delivered
500046,10614,2024-06-14,Delivered
500047,10743,2023-07-26,Returned
500048,11532,2024-02-29,Delivered
500049,10241,2023-12-02,Delivered
500050,11164,2024-03-14,Delivered
500051,12427,2024-08-23,Delivered
500052,10822,2024-04-03,Delivered
500053,10576,2024-07-20,Delivered
500054,10661,2024-01-18,Delivered
500055,12012,2023-12-18,Cancelled
500056,10271,2023-10-22,Delivered
500057,11110,2023-09-10,Delivered
500058,10100,2024-07-31,Delivered
500059,10748,2024-07-20,Delivered
500060,10115,2024-06-30,Returned
500061,10984,2024-01-07,Cancelled
500062,10991,2024-06-04,Delivered
500063,13050,2023-10-22,Delivered
500064,10214,2023-06-03,Delivered
500065,12470,2023-07-19,Delivered
500066,13055,2024-07-27,Delivered
500067,11246,2023-06-15,Delivered
500068,12386,2023-06-27,Delivered
500069,11986,2023-06-21,Delivered
500070,11898,2024-05-23,Delivered
500071,11884,2024-07-30,Delivered
500072,11761,2024-01-04,Delivered
500073,12320,2024-04-02,Delivered
500074,12155,2024-07-25,Delivered
500075,10694,2024-07-16,Delivered
500076,12830,2023-06-20,Delivered
500077,11034,2024-07-22,Delivered
500078,10646,2023-07-25,Delivered
500079,12999,2023-07-03,Delivered
500080,12459,2024-08-09,Delivered
500081,10160,2024-05-06,Cancelled
500082,12058,2024-04-05,Delivered
500083,12095,2024-03-30,Delivered
500084,11971,2023-07-29,Delivered
500085,10454,2023-11-25,Returned
500086,10539,2023-12-11,Delivered
500087,12029,2023-08-27,Delivered
500088,10063,2023-12-26,Delivered
500089,12124,2023-06-23,Delivered
500090,12450,2023-07-22,Delivered
500091,11624,2024-03-01,Delivered
500092,11217,2023-07-10,Returned
500093,10863,2024-05-07,Delivered
500094,11799,2024-01-06,Delivered
500095,10156,2024-01-29,Returned
500096,10262,2023-11-12,Delivered
500097,12689,2024-06-20,Delivered
500098,12000,2024-04-11,Delivered
500099,12642,2024-01-15,Delivered
500100,10886,2024-01-12,Delivered
500101,11895,2024-06-24,Cancelled
500102,12599,2023-06-01,Delivered
500103,10212,2024-02-17,Delivered
500104,12616,2024-03-02,Cancelled
500105,10262,2024-03-13,Delivered
500106,10226,2023-09-25,Delivered
500107,10696,2024-07-04,Cancelled
500108,10419,2024-01-18,Delivered
500109,12954,2024-04-29,Delivered
500110,10995,2024-04-15,Delivered
500111,10704,2024-07-09,Delivered
500112,10794,2024-01-08,Delivered
500113,12048,2023-08-26,Delivered
500114,11036,2024-02-25,Returned
500115,10256,2024-02-11,Delivered
500116,10386,2023-06-19,Delivered
500117,11530,2023-12-08,Delivered
500118,11899,2024-03-07,Delivered
500119,11484,2023-08-14,Returned
500120,12515,2024-07-31,Delivered
500121,11272,2024-05-27,Delivered
500122,12028,2023-11-08,Delivered
500123,11630,2023-12-03,Returned
500124,12717,2024-05-25,Delivered
500125,11489,2023-09-19,Cancelled
500126,11468,2023-06-06,Delivered
500127,11089,2023-07-19,Delivered
500128,10999,2023-07-19,Returned
500129,12333,2023-08-19,Delivered
500130,12906,2024-05-25,Returned
500131,11716,2023-06-05,Delivered
500132,11960,2023-11-07,Delivered
500133,11680,2023-12-15,Returned
500134,10398,2023-06-19,Delivered
500135,10563,2024-04-03,Delivered
500136,10661,2024-08-01,Delivered
500137,12827,2024-06-16,Delivered
500138,11729,2023-10-10,Delivered
500139,11133,2024-01-09,Delivered
500140,11105,2024-09-26,Delivered
500141,11689,2023-08-23,Cancelled
500142,12043,2024-01-03,Delivered
500143,10660,2023-08-03,Delivered
500144,10821,2023-09-17,Cancelled
500145,12302,2024-08-16,Returned
500146,11391,2023-06-14,Cancelled
500147,10292,2024-01-16,Delivered
500148,12810,2024-03-04,Delivered
500149,10903,2024-08-28,Delivered
500150,10727,2024-01-09,Delivered
500151,11419,2023-12-27,Returned
500152,10444,2024-01-09,Delivered
500153,13059,2023-11-13,Returned
500154,10096,2024-05-09,Delivered
500155,11031,2024-08-09,Delivered
500156,11872,2024-06-23,Delivered
500157,10105,2024-05-14,Delivered
500158,12575,2024-05-11,Cancelled
500159,10081,2024-06-15,Returned
500160,10723,2024-01-23,Delivered
500161,12215,2024-05-22,Delivered
500162,10873,2023-10-25,Delivered
500163,12302,2024-01-30,Delivered
500164,12359,2023-11-05,Delivered
500165,12057,2023-07-01,Delivered
500166,12831,2023-12-08,Delivered
500167,10063,2023-12-05,Delivered
500168,11046,2023-07-01,Delivered
500169,12842,2023-07-15,Delivered
500170,12060,2023-11-04,Delivered
500171,12600,2023-06-01,Delivered
500172,12266,2024-06-14,Delivered
500173,10874,2024-04-12,Delivered
500174,12181,2023-10-21,Delivered
500175,13034,2023-12-16,Delivered
500176,11031,2023-10-08,Delivered
500177,10810,2023-10-23,Delivered
500178,11128,2023-09-13,Delivered
500179,10192,2023-12-09,Delivered
500180,12957,2024-07-18,Delivered
500181,11430,2024-06-23,Delivered
500182,12303,2023-07-17,Delivered
500183,12766,2024-05-26,Delivered
500184,10025,2023-08-28,Delivered
500185,12016,2023-07-16,Delivered
500186,11218,2023-09-06,Delivered
500187,12736,2024-04-11,Cancelled
500188,12095,2024-06-18,Delivered
